round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb,noise_multiplier
246,0.3646203279495239,0.9172039362063115,0.9173220941940001,0.3274240851467141,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
247,0.36756256222724915,0.9141499830335935,0.9139460713402197,0.3266078505798834,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
248,0.3685838282108307,0.9107567017305734,0.9103562485470453,0.33452847998860874,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
249,0.3588772416114807,0.9222938581608415,0.9224158363620178,0.3246356710645657,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
250,0.3823398947715759,0.9097387173396675,0.9089279048550785,0.3292810776807019,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
251,0.3689722418785095,0.9172039362063115,0.9172192427167585,0.32198044699865014,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
252,0.36623772978782654,0.9209365456396336,0.9201970147773174,0.3231396255477598,218160.0,218160.0,1531.6708777160977,0.0
253,0.36315253376960754,0.9189005768578216,0.9190719556401569,0.3273881639438044,218160.0,218160.0,1531.6708777160977,0.0
254,0.3781946003437042,0.9117746861214795,0.9113831214596452,0.3244583181899053,218160.0,218160.0,1531.6708777160977,0.0
255,0.3626759648323059,0.9192399049881235,0.9195038444206126,0.3282291694291918,218160.0,218160.0,1531.670877716098,0.0
256,0.382936954498291,0.9104173736002714,0.9099590378082497,0.3212908460992724,218160.0,218160.0,1531.6708777160975,0.0
257,0.3693118691444397,0.9189005768578216,0.9190841181721529,0.3278016941267206,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
258,0.3700179159641266,0.9172039362063115,0.917047854903061,0.32408321639918136,218160.0,218160.0,1531.6708777160977,0.0
259,0.37514373660087585,0.9121140142517815,0.9117540560421463,0.32645843720410156,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
260,0.3665253818035126,0.9175432643366135,0.9175293570153523,0.3258072246794343,218160.0,218160.0,1531.6708777160977,0.0
261,0.3705289363861084,0.9216152019002375,0.9209160227213621,0.3192864439173543,218160.0,218160.0,1531.6708777160977,0.0
