round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
364,3.6262242794036865,0.8233695652173914,0.8196748624567536,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5211197868459763,109080.0,109080.0,1.0,8.6,10.0,1539.1562781598545,0.01
365,3.247572183609009,0.8498641304347826,0.8473087775312681,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5208156071562762,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1539.1562781598545,0.01
366,3.291851043701172,0.8318614130434783,0.8294812925455922,0.21966533409873665,0.2908258377473472,0.6546898711826452,0.5148205310917005,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1539.1562781598543,0.01
367,4.140440940856934,0.8165760869565217,0.8137455653502315,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5208640541228687,109080.0,109080.0,1.0,8.6,10.0,1539.1562781598543,0.01
368,3.442185401916504,0.8355978260869565,0.8349312763713398,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5220575453277769,109080.0,109080.0,1.0,8.6,10.0,1539.1562781598543,0.01
369,3.7961580753326416,0.8315217391304349,0.8306296964650729,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.5201219189283767,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1539.1562781598545,0.01
370,3.615260601043701,0.8383152173913043,0.8362569702042643,0.21966533409873665,0.29082583774734716,0.6546898711826452,0.5223609769435131,109080.0,109080.0,1.0,8.6,10.0,1539.1562781598545,0.01
371,3.5694875717163086,0.8481657608695651,0.8451898295943177,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.50144074732383,109080.0,109080.0,1.0,8.6,10.0,1539.1562781598543,0.01
372,3.8012053966522217,0.830163043478261,0.8273152249054667,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.5095249790621271,109080.0,109080.0,1.0,8.6,10.0,1539.1562781598543,0.01
373,4.000098705291748,0.826086956521739,0.8229101241685856,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.5233234549113535,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1539.1562781598543,0.01
374,4.230493068695068,0.8189538043478262,0.8166581997622798,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.5139243979578569,109079.99999999999,109079.99999999999,1.0,8.6,10.0,1539.1562781598545,0.01
375,4.151848793029785,0.8383152173913043,0.8371072117518934,0.21966533409873668,0.29082583774734716,0.6546898711826452,0.5193756874549376,109080.0,109080.0,1.0,8.6,10.0,1539.1888798328687,0.01
