round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
20,2.5511324405670166,0.5497656249999999,0.21986364070320588,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.650356908081437,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1482.9627196389752,0.01
21,2.667809009552002,0.57875,0.2371766986564903,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6322533799824335,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1482.9717769477024,0.01
22,2.8319883346557617,0.598828125,0.2523012937024419,0.21309551329397963,0.3869625351051767,1.4517195424761136,2.660600446330796,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1482.9790885995506,0.01
23,2.2118568420410156,0.71046875,0.34031006589108903,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.632820359654777,105768.0,105768.0,1.0,8.6,10.0,1483.0098097234004,0.01
24,2.4042625427246094,0.61140625,0.25619089818685264,0.2130955132939796,0.3869625351051767,1.4517195424761136,2.611162761800692,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.0259715205068,0.01
25,1.510353446006775,0.73703125,0.32522362467536337,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6192733116193416,105768.0,105768.0,1.0,8.6,10.0,1483.0332831723554,0.01
26,2.2231333255767822,0.73,0.3278639818308303,0.2130955132939796,0.3869625351051767,1.4517195424761136,2.6623993998774313,105768.0,105768.0,1.0,8.6,10.0,1483.0464380526391,0.01
27,2.4734866619110107,0.640625,0.3005970141510724,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6310039209493925,105768.0,105768.0,1.0,8.6,10.0,1483.0512424172077,0.01
28,2.938004970550537,0.730390625,0.3552022255433644,0.21309551329397963,0.3869625351051767,1.4517195424761136,2.6473019473444106,105768.0,105768.0,1.0,8.6,10.0,1483.0567901330476,0.01
29,3.0761752128601074,0.6471875,0.3023992921229143,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.638243386715144,105768.0,105768.0,1.0,8.6,10.0,1483.1051597565463,0.01
